Journey,Hub,Usage,Cheaper Usage
MAD-NYC RT,BVA,11,0
MAD-NYC RT,ORY,292,0
MAD-NYC RT,KEF,142,0
MAD-NYC RT,OPO,11,0
MAD-NYC RT,CLT,6,0
MAD-NYC RT,OSL,20,0
MAD-NYC RT,TER,4,0
MAD-NYC RT,TLS,20,0
MAD-NYC RT,OTP,27,0
MAD-NYC RT,MXP,5,0
MAD-NYC RT,SWF,123,0
MAD-NYC RT,LGW,82,0
MAD-NYC RT,BGY,5,0
MAD-NYC RT,STN,82,0
MAD-NYC RT,MAN,1,0
MAD-NYC RT,LTN,66,0
BCN-DPS RT,ATH,110,11
BCN-DPS RT,MAD,2,0
BCN-DPS RT,LYS,5,0
BCN-DPS RT,MXP,7,0
BCN-DPS RT,SZX,39,0
BCN-DPS RT,TRN,7,0
BCN-DPS RT,FCO,13,0
BCN-PAR RT,ALG,1,0
BCN-PAR RT,SVQ,3,0
BCN-PAR RT,MAH,2,0
BCN-PAR RT,IBZ,2,0
BCN-PAR RT,OPO,10,0
BCN-PAR RT,NCE,3,0
BCN-PAR RT,ALC,8,0
BCN-PAR RT,AGP,3,0
NYC-SIN RT,BKK,7,0
NYC-SIN RT,BLR,43,2
NYC-SIN RT,HYD,2,0
NYC-SIN RT,ZRH,6,0
NYC-SIN RT,SFO,8,0
NYC-SIN RT,CAN,32,5
NYC-SIN RT,CGK,24,0
NYC-SIN RT,SEA,3,0
NYC-SIN RT,CPH,1,0
NYC-SIN RT,LHR,22,0
NYC-SIN RT,MXP,1,0
NYC-SIN RT,BBI,27,0
NYC-SIN RT,FOC,2,0
NYC-SIN RT,MAA,69,3
NYC-SIN RT,IAD,1,0
